material,width_m,height_m,mass_kg,stress_Pa,deflection_m,strength_utilization,deflection_utilization,mass_utilization,model_screen_passes,passes
illustrative_aluminum,0.02,0.004,0.0324,703124999.9999999,0.0382133152173913,5.624999999999999,38.2133152173913,0.108,False,False
illustrative_aluminum,0.025,0.004,0.0405,562499999.9999999,0.030570652173913034,4.499999999999999,30.570652173913032,0.135,False,False
illustrative_aluminum,0.02,0.006,0.0486,312500000.0,0.011322463768115942,2.5,11.322463768115941,0.162,False,False
illustrative_aluminum,0.03,0.004,0.048600000000000004,468750000.0,0.025475543478260868,3.75,25.475543478260867,0.16200000000000003,False,False
illustrative_aluminum,0.035,0.004,0.05670000000000001,401785714.28571415,0.021836180124223597,3.214285714285713,21.836180124223596,0.18900000000000003,False,False
illustrative_aluminum,0.025,0.006,0.06075,249999999.99999997,0.009057971014492752,1.9999999999999998,9.057971014492752,0.2025,False,False
illustrative_aluminum,0.02,0.008,0.0648,175781249.99999997,0.004776664402173912,1.4062499999999998,4.776664402173912,0.216,True,False
illustrative_aluminum,0.04,0.004,0.0648,351562499.99999994,0.01910665760869565,2.8124999999999996,19.10665760869565,0.216,False,False
illustrative_aluminum,0.03,0.006,0.0729,208333333.33333334,0.00754830917874396,1.6666666666666667,7.54830917874396,0.24300000000000002,False,False
illustrative_aluminum,0.02,0.01,0.081,112499999.99999999,0.002445652173913043,0.8999999999999999,2.4456521739130426,0.27,True,False
illustrative_aluminum,0.025,0.008,0.081,140624999.99999997,0.003821331521739129,1.1249999999999998,3.821331521739129,0.27,True,False
illustrative_aluminum,0.035,0.006,0.08505,178571428.57142854,0.00646997929606625,1.4285714285714284,6.46997929606625,0.28350000000000003,True,False
illustrative_steel,0.02,0.004,0.0942,703124999.9999999,0.013183593749999998,4.017857142857142,13.183593749999998,0.31400000000000006,False,False
illustrative_aluminum,0.02,0.012,0.0972,78125000.0,0.0014153079710144928,0.625,1.4153079710144927,0.324,True,False
illustrative_aluminum,0.04,0.006,0.0972,156250000.0,0.005661231884057971,1.25,5.661231884057971,0.324,True,False
illustrative_aluminum,0.03,0.008,0.09720000000000001,117187500.0,0.0031844429347826085,0.9375,3.1844429347826084,0.32400000000000007,True,False
illustrative_aluminum,0.025,0.01,0.10125,89999999.99999999,0.001956521739130434,0.7199999999999999,1.956521739130434,0.3375,True,False
illustrative_aluminum,0.02,0.014,0.1134,57397959.183673464,0.0008912726581315753,0.4591836734693877,0.8912726581315753,0.378,True,True
illustrative_aluminum,0.035,0.008,0.11340000000000001,100446428.57142854,0.0027295225155279496,0.8035714285714283,2.7295225155279494,0.37800000000000006,True,False
illustrative_steel,0.025,0.004,0.11775000000000001,562499999.9999999,0.010546874999999997,3.2142857142857135,10.546874999999996,0.3925,False,False
illustrative_aluminum,0.025,0.012,0.1215,62499999.99999999,0.001132246376811594,0.49999999999999994,1.132246376811594,0.405,True,False
